tab 	specimens
citations	dir_comp	dir_dec	dir_inc	dir_n_comps	meas_step_max	meas_step_min	meas_step_unit	method_codes	sample	specimen
this study:10.1029/2018GC007946	Fit 1	273.0605163574219	1.0959337949752808	2.0	872.9399939993999	789.9516951695169	K	LP-DIR-T:DE-TROUT	cr418f	cr418f-czb
this study:10.1029/2018GC007946	Fit 2	346.4682006835937	0.4090626537799835	2.0	747.8274827482749	273.0	K	LP-DIR-T:DE-TROUT	cr423c	cr423c-czb
this study:10.1029/2018GC007946	Fit 1	223.0197296142578	-1.6231974363327026	2.0	872.9399939993999	801.4128412841284	K	LP-DIR-T:DE-TROUT	cr423c	cr423c-czb
this study:10.1029/2018GC007946	Fit 2	353.9455261230469	-0.7739971876144409	2.0	783.5310531053105	285.36123612361234	K	LP-DIR-T:DE-TROUT	jm009c	jm009c-czb
this study:10.1029/2018GC007946	Fit 1	224.4524078369141	-0.654056966304779	2.0	858.2385238523852	793.01200120012	K	LP-DIR-T:DE-TROUT	jm009c	jm009c-czb
this study:10.1029/2018GC007946	Fit 2	358.4171142578125	-0.2869729697704315	2.0	781.3108310831083	289.0816081608161	K	LP-DIR-T:DE-TROUT	jm009d	jm009d-czb
this study:10.1029/2018GC007946	Fit 1	174.5334014892578	-3.3891589641571045	2.0	868.979597959796	783.2310231023102	K	LP-DIR-T:DE-TROUT	jm009d	jm009d-czb
this study:10.1029/2018GC007946	Fit 2	4.672141551971436	-1.4728440046310425	2.0	775.6702670267027	351.0678067806781	K	LP-DIR-T:DE-TROUT	jm009f	jm009f-czb
this study:10.1029/2018GC007946	Fit 1	87.06262969970703	0.1881593465805053	2.0	862.7989798979897	789.1116111611161	K	LP-DIR-T:DE-TROUT	jm009f	jm009f-czb
this study:10.1029/2018GC007946	Fit 2	358.3448791503906	-0.1541382074356079	2.0	756.0483048304831	349.1476147614761	K	LP-DIR-T:DE-TROUT	jm009i	jm009i-czb
this study:10.1029/2018GC007946	Fit 1	40.8973274230957	-0.0767242833971977	2.0	872.9399939993999	781.9108910891089	K	LP-DIR-T:DE-TROUT	jm009i	jm009i-czb
this study:10.1029/2018GC007946	Fit 2	356.5585021972656	-1.1049840450286863	2.0	757.8484848484849	273.0	K	LP-DIR-T:DE-TROUT	jm011d	jm011d-czb
this study:10.1029/2018GC007946	Fit 1	265.9647827148437	-1.6429975032806396	2.0	872.9399939993999	790.6717671767177	K	LP-DIR-T:DE-TROUT	jm011d	jm011d-czb
this study:10.1029/2018GC007946	Fit 2	359.7398376464844	-2.158686399459839	2.0	782.1509150915092	273.0	K	LP-DIR-T:DE-TROUT	mc117a	mc117a-szb
this study:10.1029/2018GC007946	Fit 1	314.0848693847656	-4.573525428771973	2.0	861.3588358835883	783.4710471047105	K	LP-DIR-T:DE-TROUT	mc117a	mc117a-szb
this study:10.1029/2018GC007946	Fit 2	358.44635009765625	-0.5762767195701599	2.0	780.1107110711071	273.0	K	LP-DIR-T:DE-TROUT	mc117b	mc117b-szb
this study:10.1029/2018GC007946	Fit 1	267.7140808105469	-3.538727045059204	2.0	868.4995499549955	788.931593159316	K	LP-DIR-T:DE-TROUT	mc117b	mc117b-szb
this study:10.1029/2018GC007946	Fit 2	355.0965576171875	-1.849428653717041	2.0	773.5700570057006	273.0	K	LP-DIR-T:DE-TROUT	mc117d	mc117d-szb
this study:10.1029/2018GC007946	Fit 1	130.27883911132812	-1.3908811807632446	2.0	872.9399939993999	778.5505550555056	K	LP-DIR-T:DE-TROUT	mc117d	mc117d-szb
this study:10.1029/2018GC007946	Fit 2	356.5121765136719	-0.6982868313789368	2.0	639.1566156615661	273.0	K	LP-DIR-T:DE-TROUT	mc117e	mc117e-szb
this study:10.1029/2018GC007946	Fit 1	173.7440948486328	-0.1560142040252685	2.0	867.8394839483948	783.6510651065107	K	LP-DIR-T:DE-TROUT	mc117e	mc117e-szb
this study:10.1029/2018GC007946	Fit 2	354.370361328125	-0.5526065230369568	2.0	750.7077707770777	381.7308730873088	K	LP-DIR-T:DE-TROUT	mc120c	mc120c-szb
this study:10.1029/2018GC007946	Fit 1	39.33060073852539	-3.296731472015381	2.0	849.2376237623762	783.4710471047105	K	LP-DIR-T:DE-TROUT	mc120c	mc120c-szb
this study:10.1029/2018GC007946	Fit 2	2.377298355102539	-0.88398277759552	2.0	781.8508850885089	273.0	K	LP-DIR-T:DE-TROUT	mc167d	mc167d-szb
this study:10.1029/2018GC007946	Fit 1	182.008041381836	-0.0016325318720191	2.0	872.9399939993999	815.034203420342	K	LP-DIR-T:DE-TROUT	mc167d	mc167d-szb
this study:10.1029/2018GC007946	Fit 2	359.8236389160156	5.087348937988281	2.0	770.2697269726973	273.0	K	LP-DIR-T:DE-TROUT	sc02e	sc02e-czb
this study:10.1029/2018GC007946	Fit 1	180.9306488037109	-6.362175464630127	2.0	872.9399939993999	819.6546654665467	K	LP-DIR-T:DE-TROUT	sc02e	sc02e-czb
this study:10.1029/2018GC007946	Fit 2	355.43927001953125	-0.0574151761829853	2.0	753.1080108010801	279.7806780678068	K	LP-DIR-T:DE-TROUT	sc03h	sc03h-czb
this study:10.1029/2018GC007946	Fit 1	91.03602600097656	-0.8033691644668579	2.0	872.9399939993999	784.4911491149114	K	LP-DIR-T:DE-TROUT	sc03h	sc03h-czb
this study:10.1029/2018GC007946	Fit 2	0.2736846208572387	-0.6028190851211548	2.0	766.009300930093	273.0	K	LP-DIR-T:DE-TROUT	sc06d	sc06d-czb
this study:10.1029/2018GC007946	Fit 1	41.70220947265625	0.0110595896840095	2.0	867.3594359435943	784.6111611161116	K	LP-DIR-T:DE-TROUT	sc06d	sc06d-czb
this study:10.1029/2018GC007946	Fit 2	358.42889404296875	-0.1444151997566223	2.0	769.6696669666967	321.5448544854485	K	LP-DIR-T:DE-TROUT	hw226a	hw226a-szb
this study:10.1029/2018GC007946	Fit 1	269.69122314453125	1.2951910495758057	2.0	872.9399939993999	804.2931293129313	K	LP-DIR-T:DE-TROUT	hw226a	hw226a-szb
this study:10.1029/2018GC007946	Fit 2	356.21502685546875	-1.9098210334777832	2.0	778.3705370537054	298.6825682568257	K	LP-DIR-T:DE-TROUT	mc109d	mc109d-szb
this study:10.1029/2018GC007946	Fit 1	174.76097106933594	0.5783075094223022	2.0	867.8394839483948	810.8937893789379	K	LP-DIR-T:DE-TROUT	mc109d	mc109d-szb
this study:10.1029/2018GC007946	Fit 2	358.89459228515625	-1.0365537405014038	2.0	756.2283228322832	305.2832283228323	K	LP-DIR-T:DE-TROUT	mc109e	mc109e-szb
this study:10.1029/2018GC007946	Fit 1	93.4603500366211	0.0430234484374523	2.0	860.8787878787879	788.8115811581158	K	LP-DIR-T:DE-TROUT	mc109e	mc109e-szb
this study:10.1029/2018GC007946	Fit 2	7.642720699310303	0.1428544521331787	2.0	752.7479747974797	377.4704470447045	K	LP-DIR-T:DE-TROUT	mc111d	mc111d-szb
this study:10.1029/2018GC007946	Fit 1	317.8605651855469	-7.2478227615356445	2.0	846.4173417341734	798.0525052505251	K	LP-DIR-T:DE-TROUT	mc111d	mc111d-szb
this study:10.1029/2018GC007946	Fit 2	0.1848490685224533	6.887546539306641	2.0	768.7695769576958	307.62346234623465	K	LP-DIR-T:DE-TROUT	mc111e	mc111e-szb
this study:10.1029/2018GC007946	Fit 1	223.74270629882807	-12.632683753967283	2.0	839.4566456645664	781.3108310831083	K	LP-DIR-T:DE-TROUT	mc111e	mc111e-szb
this study:10.1029/2018GC007946	Fit 2	0.7194887399673462	-0.3062057197093963	2.0	765.2292229222923	384.1911191119112	K	LP-DIR-T:DE-TROUT	mc120b	mc120b-szb
this study:10.1029/2018GC007946	Fit 1	129.65577697753906	3.4669947624206543	2.0	851.8178817881789	779.2706270627062	K	LP-DIR-T:DE-TROUT	mc120b	mc120b-szb
